node_id,type,name,topic,group_id,disabled,wired_inputs,wired_outputs,x,y
360f60a3.4489c,mqtt in,emon/cameraMatrimoniale/temperature,emon/cameraMatrimoniale/temperature,,False,0,4,210,2220
e1e32b35.e52bd,ui_gauge,°C,,317db321.171764,False,1,0,680,2220
31655777.f25ac,mqtt in,emon/emonth5/humidity,emon/emonth5/humidity,,False,0,3,170,2280
b4d30aad.66d788,ui_gauge,%,,317db321.171764,False,1,0,680,2280
ce6c94ac.3012d,mqtt in,emon/weather/RelativeHumidity,emon/weather/RelativeHumidity,,True,0,1,200,2320
af505d22.639058,ui_gauge,%,,317db321.171764,False,2,0,680,2320
08db19e17a531f07,mqtt in,emon/weather/RelativeHumidity,emon/weather/extHumidity,,False,0,1,190,2360
d0897d5b.aa1ac,ui_gauge,%,,317db321.171764,False,1,0,680,2360
1ff6727a.90bc4e,link out,AC 25 dry eco,,,False,1,0,1545,2380
196a3db4.d49aca,mqtt in,emon/cameraMatrimoniale/humidity,emon/cameraMatrimoniale/humidity,,False,0,3,200,2400
848c486f.e9dd88,function,start/stop AC 25 Eco at night,,,True,1,1,720,2420
c94eb21e.05dbd8,rbe,rbe,,,False,1,1,1090,2420
8cbd4485.37e93,switch,switch,,,False,1,3,1270,2420
dd4cbb85.367938,link out,AC 26 dry,,,False,1,0,1545,2420
38ad1f4937437ea3,function,function 23,,,False,4,4,130,2460
30d8f988.be5cde,function,function,,,True,4,5,430,2460
5b09c0b9.4337a8,ui_gauge,%,,317db321.171764,False,2,0,680,2460
293b9ba9.b8a3cc,link out,AC off,,,False,1,0,1545,2460
68a719f0.7b201,ui_gauge,%,,317db321.171764,False,2,0,690,2500
6133291c.dec6b8,ui_text,20 to 29: Little to no discomfort,,317db321.171764,False,0,0,730,2540
43cfe2f970bb9c81,mqtt out,emon/cameraMatrimoniale/humidex,emon/cameraMatrimoniale/humidex,,False,2,0,340,2580
d2c1fbdb.a11fd,ui_text,30 to 39: Some discomfort,,317db321.171764,False,0,0,720,2580
0b4112e939342807,mqtt out,emon/emonth5/humidex,emon/emonth5/humidex,,False,2,0,230,2620
54a78b50.d8d164,ui_text,40 to 45: Great discomfort; avoid exertion,,317db321.171764,False,0,0,760,2620
c1dd0739.a1085,ui_text,Above 45: Dangerous; heat stroke quite possible,,317db321.171764,False,0,0,790,2660
d9f7778d.18854,mqtt in,emon/resolDL2/sensor2,emon/resolDL2/sensor2,,False,0,1,170,2720
2857c6d4.4058c2,ui_gauge,°C,,50fbd9b6.397468,False,1,0,670,2720
262ce4b6.c83ccc,mqtt in,emon/resolDL2/sensor3,emon/resolDL2/sensor3,,False,0,1,170,2760
be60be33.05f138,ui_gauge,°C,,50fbd9b6.397468,False,1,0,670,2760
9aac4866.042dc,mqtt in,emon/resolDL2/sensor1,emon/resolDL2/sensor1,,False,0,1,170,2800
87954e09.e579d8,ui_gauge,°C,,e5869a29.e5b8a,False,1,0,680,2800
e5fe808aac72557a,mqtt in,emon/shellyACS/tempACS,emon/shellyACS/tempACS,,False,0,1,190,2840
f14c930f38c55622,ui_gauge,°C,,50fbd9b6.397468,False,1,0,680,2840
600374ae.ee6e04,mqtt in,emon/OTGcaldaia/flame,emon/OTGcaldaia/flame,,False,0,1,170,2880
7ff0d0ab.7a36,function,function,,,False,1,1,390,2880
669bf54a.91031c,ui_switch,{{msg.topic}},,dc2ce469.bc4ee8,False,1,0,650,2880
5ff75a7c.7f2474,mqtt in,emon/OTGcaldaia/modulation,emon/OTGcaldaia/modulation,,False,0,1,180,2920
e5419d0e.b2a138,function,function,,,False,1,2,390,2920
4b70e660.2e1ac,ui_gauge,%,,dc2ce469.bc4ee8,False,1,0,700,2920
5106781e.4510f8,ui_chart,ui_chart,,dc2ce469.bc4ee8,False,1,0,650,2960
62735af0.f4234c,mqtt in,emon/resolDL2/pump1,emon/resolDL2/pump1,,False,0,1,160,3000
440c7fad.dc5698,ui_gauge,%,,e5869a29.e5b8a,False,1,0,700,3000
1a72f1db.486a06,mqtt in,zara/domotics/pompapavimento/abilitata,zara/domotics/pompapavimento/abilitata,,False,0,1,220,3060
9362f9dc.d6cf28,ui_switch,abilitata,,f501f4eb.e83f98,False,1,1,660,3060
3cf47e89.a14372,mqtt out,zara/domotics/pompapavimento/abilitata,zara/domotics/pompapavimento/abilitata,,False,1,0,920,3060
e70845ea.ee8558,mqtt in,zara/domotics/floorpumpstate,zara/domotics/floorpumpstate,,False,0,1,180,3100
82f439bf.2f3ab,function,function,,,False,1,1,390,3100
117544a9.1ec7cb,ui_switch,{{msg.topic}},,f501f4eb.e83f98,False,1,0,650,3100
cb66f5c8.2fe798,ui_text,ui_text,,f501f4eb.e83f98,False,0,0,650,3140
fd03aec8.be6d78,function,"va bene, accendo l'aria condizionata",,,False,1,1,1330,3180
24316620.bfee82,mqtt in,emon/AC/ACstatus,emon/AC/ACstatus,,False,0,1,150,3200
a03df4e3.483688,function,function,,,True,1,1,390,3200
6b9c0d86.28690c,ui_switch,{{msg.topic}},,17459f3a.593b69,False,2,2,650,3200
331a4162.556b36,switch,switch,,,False,1,2,1050,3200
2c45a94.669d156,link out,ac,,,False,2,0,895,3220
c1fe2af4.05e61,function,"va bene, spengo l'aria condizionata",,,False,1,1,1330,3220
571e702d.9d50f,ui_numeric,Auto,,17459f3a.593b69,False,1,2,650,3260
f5631c9.3befa6,function,"va bene, regolo la temperatura dell'aria condizionata a",,,False,1,1,1390,3260
c7e0b7e6.14d62,mqtt in,/esp8266/hitachiAC/command,/esp8266/hitachiAC/command,,True,0,1,180,3280
f71a3e69.df29,function,function,,,False,2,3,390,3280
b0585e6a.102df8,ui_numeric,Eco,,20053532.acb9fa,False,1,2,650,3300
f37946b.c0543b8,function,"va bene, regolo la temperatura della pompa di calore a",,,False,1,1,1390,3300
c367ab1d7f57744a,mqtt in,zara/domotics/AC/command,zara/domotics/AC/command,,False,0,1,180,3320
324bf2f9.d56abe,link out,heat pump,,,False,2,0,895,3340
49d5624b.33ea44,function,"va bene, accendo la pompa di calore",,,False,1,1,1330,3340
6af029e7.bd4e6,mqtt in,emon/AC/HPstatus,emon/AC/HPstatus,,False,0,1,150,3360
ce80344d.c7b87,function,function,,,False,1,1,390,3360
6a5b9988.ef37d,ui_switch,{{msg.topic}},,20053532.acb9fa,False,1,2,650,3360
7854814d.1c0f38,switch,switch,,,False,1,2,1050,3360
2e571e8f.459f32,function,"va bene, spengo la pompa di calore",,,False,1,1,1330,3380
2156d0164e4ef3d0,mqtt in,zara/domotics/HP/abilitata,zara/domotics/HP/abilitata,,False,0,1,180,3420
e675fa6bcc079df7,ui_switch,abilitata,,20053532.acb9fa,False,1,1,660,3420
c5fc3b056689bd92,mqtt out,zara/domotics/HP/abilitata,zara/domotics/HP/abilitata,,False,1,0,870,3420
d85f5996e699f6c4,mqtt in,zara/domotics/HP/solardivertmode,zara/domotics/HP/solardivertmode,,False,0,1,220,3480
f08605cca57e4ea0,ui_switch,Solar Divert Mode,,20053532.acb9fa,False,1,1,690,3480
8a433f258fd9ae4c,mqtt out,zara/domotics/HP/solardivertmode,zara/domotics/HP/solardivertmode,,False,1,0,1020,3480
816f87f1.fdeb1,function,function,,,False,1,0,520,3560
8c82fefe.37a248,mqtt out,zara/domotics/modalitavacanza,zara/domotics/modalitavacanza,,False,2,0,1070,3600
c99f7204.ae3e6,mqtt in,zara/domotics/modalitavacanza,zara/domotics/modalitavacanza,,False,0,2,310,3620
b6228a3a.440988,ui_switch,Casa modalità vacanza,,8d8d37.4822d2c8,False,1,2,700,3620
42474f12.c19108,function,function,,,True,1,1,930,3640
4d4b9159.b21668,function,get modalita,,,True,1,1,210,3740
70e74445.fe63c4,mysql,ZaraDomotica / ZaraDomotica,,,True,2,1,490,3740
32f17ee0.02e022,switch,switch,,,True,1,1,750,3740
b99c201f.436e,function,function,,,True,1,1,890,3740
3f57b0cc029f679e,mqtt in,zara/domotics/luciECO,zara/domotics/luciECO,,False,0,2,300,3800
a6f747ee71a32d88,ui_switch,Accensione luci ECO,,8d8d37.4822d2c8,False,1,2,700,3800
22d71c9a6065fe9b,mqtt out,zara/domotics/luciECO,zara/domotics/luciECO,,False,2,0,1000,3800
d036429f3415b306,mqtt in,zara/domotics/luciPiscinaAuto,zara/domotics/luciPiscinaAuto,,False,0,2,1300,3800
c68af5b84f78c92e,ui_switch,Luci Piscina AUTO,,8d8d37.4822d2c8,False,1,2,1650,3800
9fa00d7a7ba8f2c7,mqtt in,zara/domotics/ACAuto,zara/domotics/ACAuto,,False,0,2,2300,3800
365a8c9483f36fdb,ui_switch,AC Auto,,8d8d37.4822d2c8,False,1,2,2640,3800
865af8e6972b8bc3,mqtt out,zara/domotics/luciPiscinaAuto,zara/domotics/luciPiscinaAuto,,False,2,0,1990,3820
0dd49f645bf50359,mqtt out,zara/domotics/ACAuto,zara/domotics/ACAuto,,False,2,0,2980,3820
f5c9c515cf42d334,function,function,,,False,1,0,500,3840
da2b0841d5b90464,function,function,,,True,1,1,700,3840
f6acc7720b681b77,function,function,,,False,1,0,1460,3860
c92c37bef71ddc13,function,function,,,True,1,1,1660,3860
f58b780782821937,function,function,,,False,1,0,2480,3860
02e6e414771821cb,function,function,,,True,1,1,2680,3860
c8ea712efd6913c8,function,get luciECO,,,True,1,1,310,3880
71d072bea6c33cb2,mysql,ZaraDomotica / ZaraDomotica,,,True,2,1,550,3880
74952642d2098464,switch,switch,,,True,1,1,810,3880
3148ab1f49616a54,function,function,,,True,1,1,950,3880
53301fe20b6e9be9,function,get luciPiscinaAUTO,,,True,1,1,1240,3900
ba20a2b4665205cc,mysql,ZaraDomotica / ZaraDomotica,,,True,2,1,1510,3900
7d8e5e88b771ec32,switch,switch,,,True,1,1,1770,3900
e44964b4fae70a87,function,function,,,True,1,1,1910,3900
ec22cf26e5af06f4,function,get luciPiscinaAUTO,,,True,1,1,2260,3900
f456208cde9489f6,mysql,ZaraDomotica / ZaraDomotica,,,True,2,1,2530,3900
ea3caa2b1235ae7c,switch,switch,,,True,1,1,2790,3900
6018aa5bef3e0f41,function,function,,,True,1,1,2930,3900
faf3c84d.76b24,ui_text,Cancello garage,,65075bb7.fa3d34,False,0,0,340,3940
72c793a1.5f37fc,ui_button,Apri 1st button,,65075bb7.fa3d34,False,0,1,540,3940
c9cb829c.b514f8,link out,cancelloGarage,,,False,1,0,680,3940
31482396d58350b8,mqtt in,zara/domotics/porch_sensor,zara/domotics/porch_sensor,,False,0,2,1220,3960
