id,type,tab,name,disabled,topic,qos,retain,broker_name,broker_host,broker_port,outputs,wire_targets
ef9798fe30ae6866,function,Android APP Bridge,App Main Router,false,,,,,,,4,"029b611c762d7219,bd8d66b09aae991f,893cab22b022f9f7,01283d5864cde9b4"
42c039cfb62a43a2,mqtt in,Android APP Bridge,42c039cfb62a43a2,false,,2,,domopi mqtt,192.168.1.20,1883,,ef9798fe30ae6866
ad2a868186bbe8b6,function,Android APP Bridge,function 29,false,,,,,,,1,
5b75b9e882dcebfb,inject,Android APP Bridge,5b75b9e882dcebfb,false,,,,,,,,ad2a868186bbe8b6
a40733727fb29c55,mqtt out,Android APP Bridge,a40733727fb29c55,false,zara/domotics/ACAuto,0,true,domopi mqtt,192.168.1.20,1883,,
3db3a26c676e583c,mqtt out,Android APP Bridge,3db3a26c676e583c,false,casa/clima/cmnd/vmc_max_notte,,true,domopi mqtt,192.168.1.20,1883,,
0af2db132cc8cd0f,mqtt out,Android APP Bridge,0af2db132cc8cd0f,false,casa/clima/cmnd/AI_climate_enabling,,,domopi mqtt,192.168.1.20,1883,,
4b484152120e2d18,mqtt in,Android APP Bridge,4b484152120e2d18,false,casa/clima/cmnd/AI_climate_enabling,2,,domopi mqtt,192.168.1.20,1883,,cf899af1e8162086
cf899af1e8162086,function,Android APP Bridge,Outbound Router Settaggi,false,,,,,,,1,e21a5bab7aaa539f
28256464972b2329,mqtt in,Android APP Bridge,28256464972b2329,false,zara/domotics/modalitavacanza,2,,domopi mqtt,192.168.1.20,1883,,cf899af1e8162086
c698d126b68e11f8,mqtt in,Android APP Bridge,c698d126b68e11f8,false,zara/domotics/luciECO,2,,domopi mqtt,192.168.1.20,1883,,cf899af1e8162086
5b7675e55cbc4b81,mqtt in,Android APP Bridge,5b7675e55cbc4b81,false,zara/domotics/luciPiscinaAuto,2,,domopi mqtt,192.168.1.20,1883,,cf899af1e8162086
6571bf1f8e667903,mqtt in,Android APP Bridge,6571bf1f8e667903,false,zara/domotics/ACAuto,2,,domopi mqtt,192.168.1.20,1883,,cf899af1e8162086
6bf7b6d43cfb3fc3,mqtt in,Android APP Bridge,6bf7b6d43cfb3fc3,false,casa/clima/stat/vmc_max_notte,2,,domopi mqtt,192.168.1.20,1883,,cf899af1e8162086
fc0ba16b2241adf1,mqtt in,Android APP Bridge,fc0ba16b2241adf1,false,zara/domotics/porch_sensor,0,,domopi mqtt,192.168.1.20,1883,,cf899af1e8162086
d073880643e29f9e,mqtt out,Android APP Bridge,d073880643e29f9e,false,zara/domotics/porch_sensor,,,domopi mqtt,192.168.1.20,1883,,
fe21b464ce170529,mqtt in,Android APP Bridge,fe21b464ce170529,false,casa/clima/stato_completo,2,,domopi mqtt,192.168.1.20,1883,,5c91c3fd74fc6cd6
5c91c3fd74fc6cd6,change,Android APP Bridge,5c91c3fd74fc6cd6,false,,,,,,,,966f722b97b6dfd5
db523ff6c9bae47c,mqtt in,Android APP Bridge,MQTT Potenza Produzione FV (FV W),false,TeslaPowerwall/site_instant_power,2,,emoncms mqtt,192.168.1.15,1883,,d433e0dab61b2778
d433e0dab61b2778,function,Android APP Bridge,function 32,false,,,,,,,1,966f722b97b6dfd5
f22c31479e1b1d5b,mqtt in,Android APP Bridge,f22c31479e1b1d5b,false,emon/cameraMatrimoniale/humidex,2,,emoncms mqtt,192.168.1.15,1883,,84374abab73c53ba
831724587f5922f7,mqtt in,Android APP Bridge,humidex living,false,emon/emonth5/humidex,2,,emoncms mqtt,192.168.1.15,1883,,84374abab73c53ba
mqtt_in_palazzetti,mqtt in,Android APP Bridge,zara/domotics/palazzetti/#,false,zara/domotics/palazzetti/#,0,,emoncms mqtt,192.168.1.15,1883,,funzione_ponte_caminetto
mqtt_in_app_cmnd,mqtt in,Android APP Bridge,alexa/caminetto,false,alexa/caminetto,0,,emoncms mqtt,192.168.1.15,1883,,funzione_ponte_caminetto
funzione_ponte_caminetto,function,Android APP Bridge,Ponte Traduttore Caminetto,false,,,,,,,2,"mqtt_out_locale,mqtt_out_alexa"
mqtt_out_locale,mqtt out,Android APP Bridge,MQTT Locale (App & ESP),false,,1,true,domopi mqtt,192.168.1.20,1883,,
mqtt_out_alexa,mqtt out,Android APP Bridge,MQTT Esterno (Alexa),true,,1,false,,,,,
