node_id,direction,flow,node_name,topic,dynamic_topic,qos,retain,datatype,broker_name,broker_host,broker_port,disabled
262ce4b6.c83ccc,SUBSCRIBE,Dashboard Android App,,emon/resolDL2/sensor3,no,2,,,emoncms mqtt,192.168.1.15,1883,False
9aac4866.042dc,SUBSCRIBE,Dashboard Android App,,emon/resolDL2/sensor1,no,2,,,emoncms mqtt,192.168.1.15,1883,False
600374ae.ee6e04,SUBSCRIBE,Dashboard Android App,,emon/OTGcaldaia/flame,no,2,,,emoncms mqtt,192.168.1.15,1883,False
5ff75a7c.7f2474,SUBSCRIBE,Dashboard Android App,,emon/OTGcaldaia/modulation,no,2,,,emoncms mqtt,192.168.1.15,1883,False
62735af0.f4234c,SUBSCRIBE,Dashboard Android App,,emon/resolDL2/pump1,no,2,,,emoncms mqtt,192.168.1.15,1883,False
e70845ea.ee8558,SUBSCRIBE,Dashboard Android App,,zara/domotics/floorpumpstate,no,2,,,emoncms mqtt,192.168.1.15,1883,False
c7e0b7e6.14d62,SUBSCRIBE,Dashboard Android App,,/esp8266/hitachiAC/command,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,True
6af029e7.bd4e6,SUBSCRIBE,Dashboard Android App,,emon/AC/HPstatus,no,2,,,emoncms mqtt,192.168.1.15,1883,False
24316620.bfee82,SUBSCRIBE,Dashboard Android App,,emon/AC/ACstatus,no,2,,,emoncms mqtt,192.168.1.15,1883,False
18ad57fe.745928,SUBSCRIBE,Dashboard Android App,,zara/domotics/lights/poolfloor,no,2,,,domopi mqtt,192.168.1.20,1883,False
32a2db32.980c34,SUBSCRIBE,Dashboard Android App,,zara/domotics/lights/poollight,no,2,,,domopi mqtt,192.168.1.20,1883,False
d977f16d.6e08b8,SUBSCRIBE,Dashboard Android App,,zara/domotics/lights/poolskimmer,no,2,,,domopi mqtt,192.168.1.20,1883,False
371a41d3.98ead6,SUBSCRIBE,Dashboard Android App,,zara/domotics/lights/poolpump,no,2,,,domopi mqtt,192.168.1.20,1883,False
2a6979e9.508f96,SUBSCRIBE,Dashboard Android App,,zara/domotics/lights/prolunga,no,2,,,domopi mqtt,192.168.1.20,1883,False
9362a82d.a490f,SUBSCRIBE,Dashboard Android App,,zara/domotics/palazzetti/modalita,no,2,,,emoncms mqtt,192.168.1.15,1883,False
6fe78dd6.110eec,PUBLISH,Dashboard Android App,,zara/domotics/palazzetti/modalita,no,0,true,,emoncms mqtt,192.168.1.15,1883,False
946739a6.89787,SUBSCRIBE,Dashboard Android App,,zara/domotics/palazzetti/oraavvio,no,2,,,emoncms mqtt,192.168.1.15,1883,False
52a23e3e.61a5d,SUBSCRIBE,Dashboard Android App,,zara/domotics/palazzetti/oraspegnimento,no,2,,,emoncms mqtt,192.168.1.15,1883,False
d69205f8.c93028,PUBLISH,Dashboard Android App,,zara/domotics/palazzetti/oraavvio,no,,true,,emoncms mqtt,192.168.1.15,1883,False
9e15623.b7152a,PUBLISH,Dashboard Android App,,zara/domotics/palazzetti/oraspegnimento,no,,true,,emoncms mqtt,192.168.1.15,1883,False
89889195.c423e8,SUBSCRIBE,Dashboard Android App,,shellies/shelly1-B8C284/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
7c3ea414.4a201c,SUBSCRIBE,Dashboard Android App,,shellies/shelly1-B92AF0/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
3cf47e89.a14372,PUBLISH,Dashboard Android App,,zara/domotics/pompapavimento/abilitata,no,,true,,emoncms mqtt,192.168.1.15,1883,False
1a72f1db.486a06,SUBSCRIBE,Dashboard Android App,,zara/domotics/pompapavimento/abilitata,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
91f56f2b.a00b28,SUBSCRIBE,Dashboard Android App,,shellies/shelly1-B8B350/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
135da1cb.992dc6,SUBSCRIBE,Dashboard Android App,,shellies/shelly1-771284/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
5dc51dac.197b0c,SUBSCRIBE,Dashboard Android App,,shellies/shelly1-98F4ABF294D7/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
8c82fefe.37a248,PUBLISH,Dashboard Android App,,zara/domotics/modalitavacanza,no,0,true,,domopi mqtt,192.168.1.20,1883,False
c99f7204.ae3e6,SUBSCRIBE,Dashboard Android App,,zara/domotics/modalitavacanza,no,0,,auto,domopi mqtt,192.168.1.20,1883,False
d694fd2e2b456420,SUBSCRIBE,Dashboard Android App,,zara/domotics/lights/readinglight,no,2,,auto,domopi mqtt,192.168.1.20,1883,False
53234a63c7edbaf9,PUBLISH,Dashboard Android App,,cmnd/tasmota_F32F4F/THERMOSTATMODESET,no,,true,,domopi mqtt,192.168.1.20,1883,False
a947d635cc060e6f,SUBSCRIBE,Dashboard Android App,,emon/emonth5/temperature_calibrated,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
40a2297948c01af7,SUBSCRIBE,Dashboard Android App,,cmnd/tasmota_F32F4F/TEMPTARGETSET,no,2,,auto,domopi mqtt,192.168.1.20,1883,False
536b72c34561348b,PUBLISH,Dashboard Android App,,cmnd/tasmota_F32F4F/TEMPTARGETSET,no,,true,,domopi mqtt,192.168.1.20,1883,False
a836c202e981967b,SUBSCRIBE,Dashboard Android App,,emon/TermostatLiving/Switch,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
c784eb3294af2fd6,PUBLISH,Dashboard Android App,,cmnd/tasmota_F294D7/THERMOSTATMODESET,no,,true,,domopi mqtt,192.168.1.20,1883,False
6f4423c1a841e1d0,SUBSCRIBE,Dashboard Android App,,cmnd/tasmota_F294D7/TEMPTARGETSET,no,2,,auto,domopi mqtt,192.168.1.20,1883,False
32b91d408bec92d0,PUBLISH,Dashboard Android App,,cmnd/tasmota_F294D7/TEMPTARGETSET,no,,true,,domopi mqtt,192.168.1.20,1883,False
64a70a959c5a5b96,SUBSCRIBE,Dashboard Android App,,emon/TermostatMainBathroom/Switch,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
61b6483e29d346e6,SUBSCRIBE,Dashboard Android App,,emon/shellyBagnocamera/temperature_calibrated,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
3f57b0cc029f679e,SUBSCRIBE,Dashboard Android App,,zara/domotics/luciECO,no,0,,auto,domopi mqtt,192.168.1.20,1883,False
22d71c9a6065fe9b,PUBLISH,Dashboard Android App,,zara/domotics/luciECO,no,0,true,,domopi mqtt,192.168.1.20,1883,False
d036429f3415b306,SUBSCRIBE,Dashboard Android App,,zara/domotics/luciPiscinaAuto,no,0,,auto,domopi mqtt,192.168.1.20,1883,False
