category,topic,direction,flows,brokers,qos,retain,notes
Luci,shellies/shelly1-B8B350/relay/0/command,PUB(1),Amazon Echo,emoncms mqtt,,true,
Luci,shellies/shelly1-B8C284/relay/0,SUB(3),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Luci,shellies/shelly1-B8C284/relay/0/command,PUB(1),Amazon Echo,emoncms mqtt,,true,
Luci,shellies/shelly1-B92AF0/relay/0,SUB(3),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Luci,shellies/shelly1-B92AF0/relay/0/command,PUB(1),Amazon Echo,emoncms mqtt,,true,
Sensori ambientali,tele/tasmotaFrigorifero/SENSOR,SUB(1),mqtt to emoncms,domopi mqtt,2,,
Comandi app,zara/android/domotica/#,SUB(1),Android APP Bridge,domopi mqtt,2,,
Comandi app,zara/android/domotica/scene/set,SUB(2),Android APP Bridge,domopi mqtt,2,,
Clima,zara/domotics/AC/command,SUB(2) + PUB(1),AI climate | Dashboard Android App,domopi mqtt,2,,
Altro / da classificare,zara/domotics/ACAuto,SUB(3) + PUB(3),Android APP Bridge | Dashboard Android App,domopi mqtt,0 | 2,true,
Clima,zara/domotics/BedroomHumidex,SUB(1),AI climate,emoncms mqtt,2,,
Altro / da classificare,zara/domotics/HP/abilitata,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,2,true,
Altro / da classificare,zara/domotics/HP/solardivertmode,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,2,true,
Clima,zara/domotics/LivingHumidex,SUB(1),AI climate,emoncms mqtt,2,,
Termostati,zara/domotics/SmallBathroomThermostatMaxValue,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,0 | 2,true,
Termostati,zara/domotics/SmallBathroomThermostatMinValue,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,0 | 2,true,
Impianti termici,zara/domotics/attivaACS,PUB(1),Amazon Echo,emoncms mqtt,1,true,
Diagnostica,zara/domotics/clima_log_eventi,SUB(1) + PUB(1),AI climate,emoncms mqtt,2,,
Altro / da classificare,zara/domotics/controlloAutomaticoPotenzaCaminetto,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,0 | 2,true,
Impianti termici,zara/domotics/floorpumpstate,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Luci,zara/domotics/lights/bedroomlight,PUB(1),broadlink lights,domopi mqtt,,true,
Luci,zara/domotics/lights/livinglamp,SUB(3) + PUB(1),Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true,
Luci,zara/domotics/lights/poolfloor,SUB(3) + PUB(1),Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true,
Luci,zara/domotics/lights/poollight,SUB(3) + PUB(1),Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true,
Luci,zara/domotics/lights/poolpump,SUB(4) + PUB(1),Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true,
Piscina,zara/domotics/lights/poolskimmer,SUB(4) + PUB(1),Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true,
Luci,zara/domotics/lights/prolunga,SUB(1) + PUB(1),Dashboard Android App | broadlink lights,domopi mqtt,2,true,
Luci,zara/domotics/lights/readinglight,SUB(2) + PUB(1),Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true,
Luci,zara/domotics/lights/shelflamp,SUB(3) + PUB(1),Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true,
Luci,zara/domotics/lights/tvlamp,SUB(3) + PUB(1),Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true,
Altro / da classificare,zara/domotics/livingThemostatMaxValue,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,0 | 2,true,
Altro / da classificare,zara/domotics/livingThemostatMinValue,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,0 | 2,true,
Altro / da classificare,zara/domotics/luciECO,SUB(3) + PUB(3),Android APP Bridge | Dashboard Android App,domopi mqtt,0 | 2,true,
Piscina,zara/domotics/luciPiscinaAuto,SUB(3) + PUB(3),Android APP Bridge | Dashboard Android App,domopi mqtt,0 | 2,true,
Altro / da classificare,zara/domotics/modalitavacanza,SUB(3) + PUB(3),Android APP Bridge | Dashboard Android App,domopi mqtt,0 | 2,true,
Impianti termici,zara/domotics/palazzetti/#,SUB(1),Android APP Bridge,emoncms mqtt,0,,
Impianti termici,zara/domotics/palazzetti/acceso,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Impianti termici,zara/domotics/palazzetti/modalita,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,0 | 2,true,
Impianti termici,zara/domotics/palazzetti/oraavvio,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,2,true,
