flow,node_id,node_type,node_name,topic_literal
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,${APP_BASE}/env/tempLiving
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,${APP_BASE}/env/tempOutdoor
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,emon/cameraMatrimoniale/humidity
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,emon/cameraMatrimoniale/temperature
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,emon/emonth5/humidity
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,emon/emonth5/temperature_calibrated
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,zara/android/domotica
Android APP Bridge,ccb6fb43483367ea,function,Inbound Router Settaggi,${baseTopic}/ac_auto/state
Android APP Bridge,ccb6fb43483367ea,function,Inbound Router Settaggi,${baseTopic}/eco_lights/state
Android APP Bridge,ccb6fb43483367ea,function,Inbound Router Settaggi,${baseTopic}/holiday/state
Android APP Bridge,ccb6fb43483367ea,function,Inbound Router Settaggi,${baseTopic}/pool_lights_auto/state
Android APP Bridge,ccb6fb43483367ea,function,Inbound Router Settaggi,${baseTopic}/system/enabled/state
Android APP Bridge,ccb6fb43483367ea,function,Inbound Router Settaggi,${baseTopic}/vmc/maxNightSpeed/state
Android APP Bridge,ccb6fb43483367ea,function,Inbound Router Settaggi,zara/android/domotica
Android APP Bridge,8c0810b9f0a64f02,function,App Main Router,/light/sala/set
Android APP Bridge,8c0810b9f0a64f02,function,App Main Router,/maxNightSpeed/set
Android APP Bridge,8c0810b9f0a64f02,function,App Main Router,zara/android/domotica
Android APP Bridge,8c0810b9f0a64f02,function,App Main Router,zara/android/domotica/light/sala/set
Android APP Bridge,ee2a2ba92d28ea5a,function,Inbound Router Luci,shellies/shelly1-esterno/relay/0/command
Android APP Bridge,ee2a2ba92d28ea5a,function,Inbound Router Luci,zara/android/domotica
Android APP Bridge,ee2a2ba92d28ea5a,function,Inbound Router Luci,zigbee2mqtt/Luce_Cucina/set
Android APP Bridge,24455c4a2ada8d2d,function,Inbound Router Settaggi,${APP_BASE}/ac_auto/set
Android APP Bridge,24455c4a2ada8d2d,function,Inbound Router Settaggi,${APP_BASE}/eco_lights/set
Android APP Bridge,24455c4a2ada8d2d,function,Inbound Router Settaggi,${APP_BASE}/holiday/set
Android APP Bridge,24455c4a2ada8d2d,function,Inbound Router Settaggi,${APP_BASE}/pool_lights_auto/set
Android APP Bridge,24455c4a2ada8d2d,function,Inbound Router Settaggi,${APP_BASE}/system/enabled/set
Android APP Bridge,24455c4a2ada8d2d,function,Inbound Router Settaggi,${APP_BASE}/vmc/maxNightSpeed/set
Android APP Bridge,24455c4a2ada8d2d,function,Inbound Router Settaggi,zara/android/domotica
Android APP Bridge,78a60fefa1ad4a40,function,function 29,zara/android/domotica
Android APP Bridge,aeb73ee940afc11b,function,Inbound Router VMC,/esp8266/brink/fanspeed
Android APP Bridge,cc1f896ddfdf9b70,function,Inbound Router Termostati,zara/android/domotica
Android APP Bridge,cc1f896ddfdf9b70,function,Inbound Router Termostati,zara/domotics/AC/command
Android APP Bridge,cc1f896ddfdf9b70,function,Inbound Router Termostati,zigbee2mqtt/Termostato_Bagnetto/set
Android APP Bridge,cc1f896ddfdf9b70,function,Inbound Router Termostati,zigbee2mqtt/Termostato_Bagno/set
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,casa/clima/cmnd/AI_climate_enabling
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,casa/clima/stat/vmc_max_notte
